"BUDGET_YEAR","BUDGET_MONTH","ACCUSER_ARRESST_IPSB","ACCUSER_ARRESST_REGION","ACCUSER_ARRESST_PROVINCE","ACCUSER_ARRESST_OFFDESC","ACCUSER_ARRESST_OTHERS","TOTAL_CASE","UPDATE_DATE"
"2563","ตุลาคม","448","134","981","1338","28","2929","2566-09-05"
"2564","ตุลาคม","176","92","954","1113","40","2375","2566-09-05"
"2565","ตุลาคม","238","112","806","1010","37","2203","2566-09-05"
"2566","ตุลาคม","184","117","773","1091","29","2194","2566-09-05"
"2567","ตุลาคม","0","0","0","0","0","0","2566-09-05"
"2563","พฤศจิกายน","620","152","1086","1506","56","3420","2566-09-05"
"2564","พฤศจิกายน","199","132","1022","1237","34","2624","2566-09-05"
"2565","พฤศจิกายน","209","99","904","1140","50","2402","2566-09-05"
"2566","พฤศจิกายน","159","108","913","1203","39","2422","2566-09-05"
"2567","พฤศจิกายน","0","0","0","0","0","0","2566-09-05"
"2563","ธันวาคม","528","103","996","1426","62","3115","2566-09-05"
"2564","ธันวาคม","200","83","973","1200","42","2498","2566-09-05"
"2565","ธันวาคม","201","97","858","1207","31","2394","2566-09-05"
"2566","ธันวาคม","170","105","941","1256","40","2512","2566-09-05"
"2567","ธันวาคม","0","0","0","0","0","0","2566-09-05"
"2563","มกราคม","436","94","1073","1432","76","3111","2566-09-05"
"2564","มกราคม","177","106","924","1233","67","2507","2566-09-05"
"2565","มกราคม","179","106","898","1201","23","2407","2566-09-05"
"2566","มกราคม","187","111","986","1405","57","2746","2566-09-05"
"2563","กุมภาพันธ์","331","86","1025","1352","43","2837","2566-09-05"
"2564","กุมภาพันธ์","192","96","932","1210","60","2490","2566-09-05"
"2565","กุมภาพันธ์","166","101","952","1131","32","2382","2566-09-05"
"2566","กุมภาพันธ์","137","101","933","1297","45","2513","2566-09-05"
"2563","มีนาคม","186","79","840","1220","54","2379","2566-09-05"
"2564","มีนาคม","242","105","1033","1507","69","2956","2566-09-05"
"2565","มีนาคม","195","122","921","1171","48","2457","2566-09-05"
"2566","มีนาคม","155","82","916","1384","59","2596","2566-09-05"
"2563","เมษายน","60","35","311","358","34","798","2566-09-05"
"2564","เมษายน","159","77","714","811","59","1820","2566-09-05"
"2565","เมษายน","156","91","823","1061","27","2158","2566-09-05"
"2566","เมษายน","131","68","943","1210","28","2380","2566-09-05"
"2563","พฤษภาคม","90","86","657","715","53","1601","2566-09-05"
"2564","พฤษภาคม","118","85","575","721","37","1536","2566-09-05"
"2565","พฤษภาคม","186","97","869","1164","31","2347","2566-09-05"
"2566","พฤษภาคม","103","73","733","988","59","1956","2566-09-05"
"2563","มิถุนายน","148","108","903","965","60","2184","2566-09-05"
"2564","มิถุนายน","176","104","749","1067","27","2123","2566-09-05"
"2565","มิถุนายน","173","120","957","1233","30","2513","2566-09-05"
"2566","มิถุนายน","61","59","527","655","50","1353","2566-09-05"
"2563","กรกฏาคม","168","106","912","1113","73","2372","2566-09-05"
"2564","กรกฏาคม","95","64","538","803","15","1515","2566-09-05"
"2565","กรกฏาคม","170","94","794","1068","41","2167","2566-09-05"
"2566","กรกฏาคม","126","82","713","844","52","1817","2566-09-05"
"2563","สิงหาคม","182","105","945","1107","60","2399","2566-09-05"
"2564","สิงหาคม","126","82","511","767","42","1528","2566-09-05"
"2565","สิงหาคม","172","108","869","1170","28","2347","2566-09-05"
"2566","สิงหาคม","88","81","757","912","58","1896","2566-09-05"
"2563","กันยายน","151","75","693","762","47","1728","2566-09-05"
"2564","กันยายน","294","74","563","752","50","1733","2566-09-05"
"2565","กันยายน","129","64","766","946","30","1935","2566-09-05"
"2566","กันยายน","4","4","36","33","3","80","2566-09-05"
