OBJECTID,Event_ID,Geohaz_T,Geohaz_E,DATE,TIME,LATITUDE,LONGITUDE,UTM_E,UTM_N,ZONE,MAGNITUDE,DEPTH_KM,F_ZONE_T,F_ZONE_E,LOCATION,BAN,TAMBON,DISTRICT,PROVINCE,Geo_haz_T,Geo_haz_E,LS_Type_T,LS_Type_E,Effect
366,387,ดินถล่ม,Landslide,00:00.0,0:00:00,19.25800721,100.4908081,656677,2130048,47N,,,,,หลวงหมายเลข 1188 (ห้วยกอก – ห้วยอ่วม),,ผาช้างน้อย,ปง,พะเยา,,,,,ดินไหลปิดทับคันทางเป็นแห่งๆ บริเวณหลักกิโลเมตรที่ 38-41 ส่งผลให้การจราจรผ่านได้ไม่สะดวก
576,564,ดินถล่ม,Landslide,00:00.0,0:00:00,9.88121936,99.00333068,500365,1092280,47,,,,,,,หาดยาย,หลังสวน ,ชุมพร,,,,,ดินไหลลงมาปิดทับบ้านเรือนประชาชนเสียหายบางส่วน
458,360,ดินถล่ม,Landslide,00:00.0,0:00:00,8.31928441,98.4000307,433935,919645,47N,,,,,ถนนเพชรเกษม สายพังงา-โคกกลอย,,กะไหล,ตะกั่วทุ่ง,พังงา,,,,,ดินไหลปิดทับถนนเพชรเกษม สายพังงา-โคกกลอย บริเวณ กม.ที่ 858 + 150
388,376,ดินถล่ม,Landslide,00:00.0,0:00:00,18.48476104,99.18771305,519816,2043829,47N,,,,,,ทาปลาดุก,ทาปลาดุก,แม่ทา,ลำพูน,,,,,ดินไหลปิดทับเส้นทางถนนลาดยาง ความยาว 150 เมตร ส่งผลให้รถไม่สามารถสัญจรได้ชั่วคราว
375,244,ดินถล่ม,Landslide,00:00.0,0:00:00,19.12,99.33,534707,2114138,47N,,,,,โรงเรียนปางมะกาด,,แม่เจดีย์,เวียงป่าเป้า,เชียงราย,,,,,ดินไหล ขนาด กว้าง 20 เมตร สูง 6 เมตร ทำให้อาคารเรียนได้รับความเสียหาย
18,9,ดินถล่ม,Landslide,00:00.0,0:00:00,17.68,98.11,405751,1954859,47,,,,,,สบโขง,แม่สวด,สบเมย,แม่ฮ่องสอน,หินแกรนิต,Granite,,,มีผู้ประสบภัย 400 คน 120 ครัวเรือน บ้านเรือนเสียหาย 100 หลัง
171,143,หลุมยุบ,Sinkhole,00:00.0,0:00:00,10.09702091,98.86501818,485210,1116142,47,,,,,ริมถนน,ในหุบ,เขาค่าย,สวี,ชุมพร,หินปูน,Limestone,,,หลุมยุบมีขนาดกว้าง 4.2 เมตร ยาว 5.5 เมตร ลึก 3.2 เมตร
49,28,ดินถล่ม,Landslide,00:00.0,0:00:00,9.08,99.83,590765,1003479,47,,,,,เขาหลวง,เขาหลัก,ทุ่งใส,สิชล,นครศรีธรรมราช,หินแกรนิต,Granite,,,มีบ้านเรือนเสียหาย จำนวน 2 หลัง
411,251,ดินถล่ม,Landslide,00:00.0,0:00:00,8.08277224,100.1996449,632182,893643,47N,,,,,,,เขาพระบาท,เชียรใหญ่,นครศรีธรรมราช,,,,,ดินไหลมีเศษดินปนเศษหินจากยอดเขาที่ระดับความสูงประมาณ 170 เมตร
435,500,ดินถล่ม,Landslide,00:00.0,0:00:00,10.65096595,98.86957209,485735,1177390,47N,,,,,,รังแตนใต้,จ.ป.ร,กระบุรี,ระนอง,,,,,ดินไหลปิดทับเส้นทางจราจร ไม่สามารถสัญจรได้
79,198,หลุมยุบ,Sinkhole,00:00.0,0:00:00,16.54266699,100.698685,681269,1829729,47,,,,,,บ้างมุง,บ้านมุง,เนินมะปราง,พิษณุโลก,หินปูน,Limestone,,,หลุมยุบเส้นผ่าศูนย์กลาง 6 เมตร ลึก 2.4 เมตร
262,288,ดินถล่ม,Landslide,00:00.0,0:00:00,18.25,98.03,397454,2018116,47N,,,,,,แม่อุมลองหลวง,ป่าแป๋,แม่สะเรียง,แม่ฮ่องสอน,,,,,ดินไหลปิดทับเส้นทางระหว่างหมู่ที่ 1 และ หมู่ที่ 3 และมีรถถูกกระแสน้ำพัดไปได้รับความเสียหาย 2 คัน
155,189,หลุมยุบ,Sinkhole,00:00.0,0:00:00,14.57350555,98.59416958,456285,1611194,47,,,,,โรงเรียนบ้านไร่ป้า,ไร่ป้า,ห้วยเขย่ง,ทองผาภูมิ,กาญจนบุรี,หินปูน,Limestone,,,หลุมยุบขนาดเส้นผ่าศูนย์กลาง 6 เมตร ลึก ประมาณ 6.5 เมตร
461,409,ดินถล่ม,Landslide,00:00.0,0:00:00,6.14471737,101.1927499,742663,679699,47N,,,,,,มายอ,ธารโต,ธารโต,ยะลา,,,,,ดินไหลทำให้บ้านเรือนพังเสียหายจำนวน 1 หลัง เสียชีวิต 1 ราย บาดเจ็บ 2 ราย
324,379,ดินถล่ม,Landslide,00:00.0,0:00:00,14.788896,98.67008949,464497,1635003,47N,,,,,,อู่ลอง,ท่าขนุน,ทองผาภูมิ,กาญจนบุรี,,,,,ดินไหลปิดทับเส้นทางสายทองผาภูมิ - อำเภอสังขละบุรี เป็นระยะทางยาว 100 เมตร กม.ที่ 7-8
522,470,ดินถล่ม,Landslide,00:00.0,0:00:00,14.47251179,104.1550551,1061511,1609339,47N,,,,,,สันติสุข,ดงรัก,ภูสิงห์,ศรีสะเกษ,,,,,ดินไหลและมีน้ำป่าไหลหลาก บริเวณลำน้ำคลองพูล ทำให้พื้นที่การเกษตรได้รับความเสียหาย
303,313,ดินถล่ม,Landslide,00:00.0,0:00:00,7.82560764,99.68071205,575047,865079,47N,,,,,,ท่างิ้ว,ท่างิ้ว,ห้วยยอด,ตรัง,,,,,ดินไหลลงมาทับถนน ไม่สามารถสัญจรได้
