OBJECTID,RAIN_ID,DATE,VILLAGE,MOO,TAMBON,DISTRICT,PROVINCE,REGION,UTM_E,UTM_N,ZONE,RAIN_24_HR,RAIN_3_DAY,WEATHER
1,13357,19/2/2022 0:00,หัวนา,4,บ้านไร่,บ้านไร่,อุทัยธานี,ภาคเหนือ,556244,1666938,47,20,0,วัดปริมาณน้ำฝนได้ 20 มม.
2,13356,19/2/2022 0:00, ผักเฮือก,4, บ่อเกลือใต้, บ่อเกลือ, น่าน,ภาคเหนือ,726567,2111026,47,23,0,วัดปริมาณน้ำฝนได้ 23 มม.
3,11542,6/1/2022 0:00,อีต่อง,1,ปิล๊อก,ทองผาภูมิ,กาญจนบุรี,ภาคกลาง,432072,1622983,47,0,0,ท้องฟ้าโปร่ง อากาศเย็น
4,11543,6/1/2022 0:00,อช. ลำคลองงู, ,ชะแล,ทองผาภูมิ,กาญจนบุรี,ภาคกลาง,477300,1645850,47,0,0,ท้องฟ้าโปร่ง อากาศเย็น
5,11540,6/1/2022 0:00,วังหิน,7,บุพราหมณ์,นาดี,ปราจีนบุรี,ภาคตะวันออก,812234,1578575,47,0,0,ท้องฟ้าโปร่ง อากาศเย็น
6,11541,6/1/2022 0:00,หนองผักแว่น,9,ทัพราช,ตาพระยา,สระแก้ว,ภาคตะวันออก,888456,1553561,47,0,0,ท้องฟ้าโปร่ง อากาศเย็น
7,11546,6/1/2022 0:00,หนองโพธิ์,3,ศรีนาวา,เมือง,นครนายก,ภาคกลาง,743053,1572374,47,0,0,ท้องฟ้าโปร่ง อากาศเย็น
8,11547,6/1/2022 0:00,ผาแดง,3,สังคม,สังคม,หนองคาย,ภาคตะวันออกเฉียงเหนือ,843046,2004182,47,0,0,ท้องฟ้าโปร่ง อากาศเย็น
9,11544,6/1/2022 0:00,ท่าเสลา,4,ยางน้ำกลัดเหนือ,หนองหญ้าปล้อง,เพชรบุรี,ภาคกลาง,570751,1448747,47,0,0,ท้องฟ้าโปร่ง อากาศเย็น
10,11545,6/1/2022 0:00,ไร่บน,2,หาดขาม,กุยบุรี,ประจวบคีรีขันธ์,ภาคกลาง,585669,1337713,47,0,0,ท้องฟ้าโปร่ง อากาศเย็น
11,14545,18/3/2022 0:00,อู่ล่อง,4,ท่าขนุน,ทองผาภูมิ,กาญจนบุรี,ภาคกลาง,463486,1640051,47,0,0, ท้องฟ้าครึ้ม มีฝนตกปรอยๆ
12,11548,6/1/2022 0:00,เขตรักษาพันธุ์สัตว์ป่าผาผึ้ง, , ทุ่งพระ,คอนสาร,ชัยภูมิ,ภาคตะวันออกเฉียงเหนือ,797636,1841807,47,0,0,ท้องฟ้าโปร่ง อากาศเย็น
13,11549,6/1/2022 0:00,บุญทัน,2,บุญทัน,สุวรรณคูหา,หนองบัวลำภู,ภาคตะวันออกเฉียงเหนือ,834525,1944180,47,0,0,ท้องฟ้าโปร่ง อากาศเย็น
14,5988,18/9/2021 0:00,แสงทองพัฒนา,12,น้ำโสม,น้ำโสม,อุดรธานี,ภาคตะวันออกเฉียงเหนือ,831354,1968702,47,0,0, ท้องฟ้าครึ้ม มีเมฆมาก
15,5989,18/9/2021 0:00,ระหัด,3,กุดเลาะ,เกษตรสมบูรณ์,ชัยภูมิ,ภาคตะวันออกเฉียงเหนือ,816455,1803746,47,0,0, ท้องฟ้าครึ้ม มีเมฆมาก
16,5982,17/9/2021 0:00,อีต่อง,1,ปิล๊อก,ทองผาภูมิ,กาญจนบุรี,ภาคกลาง,432072,1622983,47,30,0,วัดปริมาณน้ำฝนได้ 30 มม.
